iter	Passed	Remaining
0	131	131143
1	131	65856
2	132	44094
3	133	33177
4	133	26623
5	134	22258
6	134	19142
7	135	16798
8	135	14971
9	136	13509
10	136	12314
11	137	11319
12	137	10475
13	138	9752
14	138	9124
15	139	8579
16	139	8095
17	140	7663
18	140	7278
19	141	6932
20	141	6618
21	142	6333
22	143	6077
23	143	5842
24	144	5642
25	145	5445
26	146	5262
27	146	5092
28	147	4928
29	147	4775
30	148	4632
31	148	4498
32	149	4372
33	149	4254
34	150	4142
35	150	4037
36	151	3937
37	151	3842
38	152	3752
39	152	3667
40	153	3586
41	153	3508
42	154	3434
43	154	3363
44	155	3296
45	155	3231
46	156	3169
47	156	3112
48	157	3056
49	158	3002
50	158	2951
51	159	2904
52	159	2857
53	160	2811
54	161	2769
55	161	2725
56	162	2683
57	162	2642
58	163	2603
59	163	2565
60	164	2528
61	164	2492
62	165	2457
63	165	2423
64	166	2390
65	166	2359
66	167	2328
67	167	2298
68	168	2270
69	168	2242
70	169	2215
71	169	2188
72	170	2163
73	170	2138
74	171	2113
75	171	2090
76	172	2067
77	172	2044
78	173	2023
79	174	2003
80	174	1982
81	175	1963
82	175	1942
83	176	1922
84	176	1903
85	177	1885
86	177	1867
87	178	1849
88	179	1832
89	179	1815
90	180	1799
91	180	1783
92	181	1767
93	181	1752
94	182	1737
95	182	1723
96	183	1709
97	184	1695
98	184	1681
99	185	1668
100	185	1654
101	186	1641
102	187	1629
103	187	1616
104	188	1604
105	188	1593
106	189	1582
107	190	1570
108	190	1559
109	191	1548
110	191	1537
111	192	1526
112	193	1515
113	193	1505
114	194	1494
115	194	1484
116	195	1473
117	195	1464
118	196	1455
119	197	1445
120	197	1436
121	198	1426
122	198	1417
123	199	1408
124	200	1400
125	200	1391
126	201	1382
127	201	1373
128	202	1365
129	202	1357
130	203	1349
131	204	1342
132	204	1335
133	205	1328
134	206	1320
135	206	1313
136	207	1305
137	207	1297
138	208	1290
139	208	1283
140	209	1275
141	209	1268
142	210	1261
143	210	1254
144	211	1247
145	212	1240
146	212	1234
147	213	1228
148	213	1221
149	214	1216
150	215	1210
151	215	1204
152	216	1198
153	217	1193
154	217	1187
155	218	1182
156	219	1177
157	219	1171
158	220	1166
159	221	1161
160	221	1154
161	222	1149
162	222	1144
163	223	1139
164	224	1134
165	224	1129
166	225	1123
167	225	1119
168	226	1114
169	227	1109
170	228	1105
171	228	1101
172	229	1096
173	230	1092
174	230	1087
175	231	1083
176	232	1078
177	232	1074
178	233	1071
179	234	1066
180	234	1062
181	235	1058
182	236	1054
183	236	1050
184	237	1046
185	238	1041
186	238	1038
187	239	1034
188	240	1030
189	240	1026
190	241	1022
191	241	1018
192	242	1014
193	243	1010
194	243	1006
195	244	1003
196	245	999
197	245	996
198	246	992
199	247	988
200	247	985
201	248	982
202	249	978
203	249	975
204	250	972
205	251	968
206	252	965
207	252	962
208	253	958
209	254	955
210	254	952
211	255	949
212	256	946
213	256	943
214	257	940
215	258	937
216	258	934
217	259	931
218	260	927
219	260	924
220	261	921
221	262	918
222	262	915
223	263	913
224	264	910
225	265	907
226	265	905
227	266	902
228	267	899
229	267	897
230	268	894
231	269	891
232	270	888
233	270	886
234	271	883
235	272	881
236	272	878
237	273	875
238	274	872
239	274	869
240	275	866
241	275	863
242	276	861
243	277	858
244	277	855
245	278	853
246	279	850
247	279	848
248	280	845
249	281	843
250	281	840
251	282	837
252	282	835
253	283	832
254	284	829
255	284	827
256	285	824
257	285	821
258	286	819
259	286	816
260	287	813
261	287	811
262	288	808
263	289	806
264	289	803
265	290	800
266	290	798
267	291	795
268	291	793
269	292	790
270	292	788
271	293	785
272	294	783
273	294	781
274	295	779
275	296	776
276	296	774
277	297	771
278	297	769
279	298	767
280	299	765
281	299	762
282	300	760
283	300	758
284	301	755
285	301	753
286	302	751
287	303	749
288	303	747
289	304	744
290	304	742
291	305	740
292	305	738
293	306	735
294	306	733
295	307	731
296	308	729
297	308	727
298	309	725
299	310	723
300	310	721
301	311	719
302	311	717
303	312	715
304	313	713
305	313	711
306	314	709
307	314	707
308	315	705
309	316	703
310	316	702
311	317	700
312	318	698
313	318	696
314	319	694
315	320	693
316	320	691
317	321	689
318	321	687
319	322	685
320	323	683
321	323	682
322	324	680
323	325	678
324	326	677
325	326	675
326	327	673
327	328	672
328	328	670
329	329	668
330	329	666
331	330	664
332	330	662
333	331	661
334	332	659
335	332	657
336	333	655
337	333	653
338	334	652
339	335	650
340	335	648
341	336	646
342	336	645
343	337	643
344	338	641
345	338	640
346	339	638
347	340	637
348	340	635
349	341	633
350	341	632
351	342	630
352	343	628
353	343	627
354	344	625
355	344	623
356	345	621
357	345	620
358	346	618
359	347	616
360	347	615
361	348	613
362	348	611
363	349	610
364	349	608
365	350	606
366	350	605
367	351	603
368	352	602
369	352	600
370	353	599
371	354	597
372	354	596
373	355	594
374	356	593
375	356	591
376	357	590
377	357	588
378	358	587
379	358	585
380	359	583
381	359	582
382	360	580
383	361	579
384	361	577
385	362	576
386	362	574
387	363	573
388	364	571
389	364	570
390	365	568
391	365	567
392	366	565
393	366	564
394	367	562
395	368	561
396	368	560
397	369	559
398	370	557
399	370	556
400	371	554
401	371	553
402	372	551
403	373	550
404	373	548
405	374	547
406	374	545
407	375	544
408	375	542
409	376	541
410	376	540
411	377	538
412	378	537
413	378	535
414	379	534
415	379	533
416	380	531
417	380	530
418	381	528
419	381	527
420	382	526
421	383	524
422	383	523
423	384	522
424	385	521
425	385	519
426	386	518
427	386	516
428	387	515
429	387	514
430	388	512
431	388	511
432	389	509
433	389	508
434	390	507
435	391	505
436	391	504
437	392	503
438	392	501
439	393	500
440	393	499
441	394	497
442	394	496
443	395	495
444	395	493
445	396	492
446	397	491
447	397	490
448	398	489
449	399	488
450	399	486
451	400	485
452	401	484
453	401	483
454	402	481
455	402	480
456	403	479
457	403	478
458	404	476
459	405	475
460	405	474
461	406	473
462	406	472
463	407	470
464	408	469
465	408	468
466	409	467
